Original Output,Original Confidence,Perturbed Output,Perturbed Confidence,Label
389,0.9154504,389,0.30165687,389
577,0.9322362,526,0.8724819,577
327,0.86044884,329,0.24455017,327
138,0.9732808,51,0.16318099,138
91,0.9358178,91,0.8145857,91
982,0.9730243,431,0.097466655,982
10,0.97297543,10,0.28787097,10
472,0.9774131,836,0.18597125,472
304,0.83534724,305,0.47630045,304
968,0.9663726,968,0.9618806,968
451,0.99904424,794,0.68405104,451
327,0.9756659,48,0.10229613,327
580,0.99888784,533,0.17201546,580
975,0.99584585,7,0.07940478,975
625,0.9847936,455,0.48717383,625
18,0.9722945,18,0.52555114,18
664,0.9354684,498,0.5429109,664
968,0.9276822,850,0.45886528,968
426,0.9240106,426,0.771132,426
653,0.9543461,412,0.044113025,653
465,0.93525666,817,0.40041986,465
810,0.8261997,810,0.63468635,810
108,0.9746312,108,0.61241364,108
673,0.55725205,560,0.26883823,673
254,0.5702473,174,0.13902,254
854,0.9608202,463,0.22440556,854
973,0.5404487,650,0.5403602,973
704,0.8592668,707,0.122879066,704
108,0.9356923,152,0.048119992,108
964,0.9426027,115,0.14554048,964
354,0.9287883,353,0.65331876,354
606,0.8611868,614,0.2524888,606
760,0.86267716,733,0.26790792,760
983,0.42076153,637,0.73158586,983
484,0.81842774,501,0.15097328,484
734,0.99651587,683,0.09144427,734
561,0.98979247,561,0.19933534,561
484,0.94695675,484,0.30769798,484
561,0.6463696,684,0.3604427,561
566,0.97391164,449,0.889342,566
719,0.95877916,719,0.4414484,719
306,0.68408704,303,0.8799588,306
484,0.9472565,874,0.56163645,484
973,0.44569343,63,0.24078883,973
771,0.9684921,631,0.39654845,771
571,0.980414,692,0.7240279,571
324,0.9548405,324,0.92300963,324
816,0.9764054,787,0.87718016,816
962,0.9966761,701,0.16173638,962
539,0.7563011,641,0.42018715,539
114,0.9943632,118,0.86796397,114
878,0.50751364,905,0.1858324,878
822,0.9474565,753,0.35315683,822
367,0.99625313,102,0.20527528,367
763,0.58613485,780,0.9518551,763
753,0.90894765,891,0.47282186,753
760,0.9551128,705,0.4011123,760
744,0.59328043,440,0.22235455,744
894,0.13841715,751,0.19284427,894
50,0.9534035,51,0.7022013,50
23,0.67134935,84,0.11673698,23
826,0.9470836,493,0.3248814,826
462,0.15364887,565,0.06087085,477
459,0.9883111,509,0.9339309,459
471,0.9998865,471,0.4673487,471
98,0.7045383,8,0.5941777,98
815,0.98819643,778,0.28727403,815
583,0.92528534,763,0.101614304,583
581,0.9507373,691,0.24524422,581
799,0.4733762,770,0.75945234,620
876,0.9095277,972,0.20850323,876
610,0.72760195,437,0.87540317,610
422,0.8615604,905,0.20605616,422
514,0.79046094,559,0.77596927,514
615,0.5305377,611,0.08191602,776
702,0.99971825,702,0.26196304,702
923,0.9338562,435,0.16445756,923
469,0.89910793,752,0.8158058,469
95,0.8489005,96,0.8375099,95
979,0.73401284,978,0.31101313,979
142,0.8845876,136,0.7826768,142
228,0.8446691,165,0.96486783,228
566,0.30706584,922,0.12883775,566
556,0.95706886,556,0.5997605,556
966,0.84846514,114,0.27882937,966
991,0.5219847,114,0.06808816,991
859,0.80019224,449,0.54524076,859
518,0.9737578,725,0.2780063,518
815,0.9554382,815,0.3818731,815
761,0.5825841,550,0.12599288,761
778,0.9861253,598,0.15623432,778
985,0.89672214,490,0.061328743,985
855,0.7090082,493,0.49212626,855
932,0.8824644,930,0.1302481,932
608,0.97892463,608,0.22429855,608
870,0.9619102,870,0.91927767,870
657,0.39802316,408,0.7451425,657
898,0.98040366,616,0.14992486,898
960,0.52403957,869,0.12262736,960
960,0.97418606,960,0.46227223,960
423,0.96350235,423,0.690758,423
860,0.99963725,787,0.051979676,860
641,0.8981874,641,0.8167769,641
650,0.784763,864,0.95180136,650
58,0.9860881,313,0.48456034,58
410,0.51950103,827,0.29768395,410
473,0.802047,473,0.5954921,473
431,0.68359524,982,0.10710887,431
422,0.624827,840,0.24645817,422
141,0.868998,18,0.159555,141
499,0.88543665,421,0.18292235,499
566,0.9616614,566,0.17169686,566
405,0.8374344,406,0.20910706,405
582,0.9619447,582,0.51271844,582
932,0.7689605,932,0.93818265,416
539,0.76398706,407,0.31055832,539
769,0.42403856,871,0.31198695,769
820,0.8162214,547,0.47963107,820
440,0.9963586,876,0.5247382,440
337,0.979532,273,0.17577094,337
51,0.97091776,50,0.959056,51
304,0.90319026,308,0.7814913,304
34,0.9057095,37,0.44017297,34
709,0.9925524,670,0.13799977,709
476,0.9992866,838,0.49568826,476
442,0.83050394,442,0.06509813,442
309,0.9965065,126,0.10871187,309
991,0.9922788,991,0.67233056,991
512,0.9620843,437,0.690176,512
645,0.95659465,131,0.55088913,645
342,0.9944332,342,0.31674182,342
583,0.94808286,510,0.46563172,583
699,0.5157304,653,0.07387079,699
920,0.9963175,540,0.5398137,920
975,0.9873095,435,0.9609376,975
311,0.41589573,306,0.1567425,311
882,0.981423,908,0.34813341,882
898,0.9526279,898,0.8172171,898
974,0.7296604,974,0.10716396,974
481,0.96296746,481,0.9348221,481
310,0.96234465,40,0.26295233,310
787,0.46719393,787,0.4144953,620
115,0.96638286,330,0.47827274,115
